GROUP-ID,UID,GROUP-TYPE,GROUP-NAME,LEAD-RSC-NAME,NUM-SCHLS,NUM-PUPS,APS,PERC-DISADV,PERC-SEN,PERC-EAL,NUM-SCHLS-PROG-TOTAL,NUM-SCHLS-PROG-CONVTR,NUM-SCHLS-PROG-SPONSRD,NUM-SCHLS-PROG-FREE-UTC-STUD,NUM-SCHLS-PROG-OPEN-1-YRS,NUM-SCHLS-PROG-OPEN-2-YRS,NUM-SCHLS-PROG-OPEN-3-YRS,NUM-SCHLS-PROG-OPEN-4-YRS,NUM-SCHLS-PROG-OPEN-5PLUS-YRS,MAT-PROG8-DESC,MAT-PROG8-SCORE,MAT-PROG8-CI-LOWER,MAT-PROG8-CI-UPPER,MAT-DIS-PROG8-DESC,MAT-DIS-PROG8-SCORE,MAT-DIS-PROG8-CI-LOWER,MAT-DIS-PROG8-CI-UPPER,MAT-EBACC-ENT,MAT-DIS-EBACC-ENT,MAT-EBACC-95,MAT-EBACC-94,MAT-DIS-EBACC-95,MAT-DIS-EBACC-94,SCHOOL-URNS
SP00003,2054,School sponsor,Academies Enterprise Trust (AET),National Lead,29,4385,27.4,38.9,2.6,16.4,29,2,27,0,0,0,1,8,20,Significantly below average,-0.34,-0.38,-0.31,Significantly below average,-0.57,-0.63,-0.5,20.4%,14.7%,8.7%,9.5%,4.8%,5.7%,133768;135651;135652;135653;135957;136147;136157;136208;136751;136753;137113;137138;137188;137321;137690;138435;138439;138585;138728;138920;138985;139047;139048;139054;139055;139118;139276;139334;141013
TR00015,2062,Multi-academy trust,Academy Transformation Trust,East of England and North East London,9,1197,27.2,32.3,2.3,13.2,9,3,6,0,0,0,0,9,0,Close to average,0.06,-0.01,0.13,Close to average,-0.23,-0.36,-0.09,40.4%,33.1%,13.5%,15.3%,7.0%,8.5%,138918;139043;139058;139062;139063;139271;139288;139578;139867
SP00010,4927,School sponsor,Aldridge Education,South East and South London,5,572,27.5,38.5,1.6,5.2,5,0,4,1,0,0,0,2,3,Significantly below average,-0.44,-0.54,-0.34,Significantly below average,-0.68,-0.86,-0.51,14.9%,8.1%,5.6%,5.9%,1.3%,1.3%,135580;136164;137063;138388;139924
TR00081,2157,Multi-academy trust,ARK Schools,National Lead,15,1924,27.9,50.7,2.3,40.6,15,2,12,1,0,0,1,2,12,Significantly above average,0.15,0.09,0.21,Significantly above average,0.02,-0.07,0.1,53.8%,52.9%,24.9%,28.5%,21.1%,24.7%,131752;135242;135315;135389;135584;135600;135965;135970;137578;138267;138518;138681;139821;139996;141019
TR00103,2186,Multi-academy trust,Aspirations Academies Trust,North West London and South Central,4,367,27.8,28.3,0.8,26.2,4,1,2,1,0,0,1,1,2,Close to average,0.05,-0.08,0.18,Close to average,-0.21,-0.46,0.05,37.6%,31.8%,10.9%,13.6%,7.3%,10.4%,137009;138499;139711;140886
TR00263,2386,Multi-academy trust,Bourne Education Trust,South East and South London,3,412,27.9,24.5,2.7,12.6,3,2,1,0,0,0,0,1,2,Close to average,0.08,-0.05,0.2,Close to average,-0.3,-0.56,-0.04,72.5%,59.5%,23.0%,27.9%,10.9%,13.9%,137595;138765;139948
TR00298,2437,Multi-academy trust,Bright Futures Educational Trust,Lancashire and West Yorkshire,3,427,29.4,37.5,1.4,19.4,3,1,2,0,0,0,1,0,2,Close to average,0.08,-0.05,0.21,Significantly below average,-0.74,-0.95,-0.52,50.0%,19.1%,41.4%,41.9%,5.6%,7.2%,137289;138097;140021
TR00325,2468,Multi-academy trust,Brook Learning Trust,South East and South London,3,309,27.7,23.3,0.3,5.5,3,1,2,0,0,0,1,0,2,Significantly below average,-0.21,-0.35,-0.07,Significantly below average,-0.84,-1.15,-0.53,24.8%,11.6%,6.8%,8.5%,1.7%,3.3%,136349;137581;138236
TR00327,2471,Multi-academy trust,The Brooke Weston Trust,North West London and South Central,5,847,27.8,26.4,2.2,15.1,5,0,4,1,0,0,0,0,5,Significantly below average,-0.1,-0.18,-0.01,Significantly below average,-0.53,-0.7,-0.35,39.9%,20.1%,21.5%,25.4%,7.1%,8.9%,135306;135317;135967;137867;138254
TR00367,2516,Multi-academy trust,Cabot Learning Federation,South West,7,886,27.7,36.3,2.5,19.4,7,0,7,0,0,0,1,0,6,Significantly below average,-0.18,-0.26,-0.09,Close to average,-0.25,-0.4,-0.1,17.6%,16.2%,7.2%,8.3%,3.5%,4.8%,135295;135300;135959;136708;137106;138394;141042
TR00375,2526,Multi-academy trust,Cambridge Meridian Academies Trust,East of England and North East London,3,472,28.4,22.2,3.4,15.5,3,1,2,0,0,0,0,1,2,Significantly above average,0.22,0.11,0.34,Close to average,-0.21,-0.47,0.04,52.9%,24.8%,31.3%,34.3%,13.1%,14.1%,136580;137082;139401
TR00429,2597,Multi-academy trust,CFBT Schools Trust,East Midlands and Humber,5,654,27.7,24.6,1.4,26.6,5,1,3,1,0,0,0,0,5,Close to average,-0.07,-0.17,0.03,Close to average,-0.39,-0.6,-0.18,24.5%,23.0%,10.7%,13.1%,8.1%,9.9%,134003;136261;137873;138367;138571
TR00604,2816,Multi-academy trust,Creative Education Trust,East of England and North East London,5,836,27.8,27,1.7,11.7,5,1,4,0,0,0,0,3,2,Close to average,0.05,-0.04,0.13,Close to average,-0.16,-0.34,0.02,28.3%,17.0%,14.7%,16.6%,6.0%,6.9%,137100;137781;138858;139068;139819
SP00142,2852,School sponsor,David Meller,North West London and South Central,4,497,27.6,32.8,0.4,17.1,4,1,1,2,0,0,1,1,2,Significantly below average,-0.32,-0.44,-0.21,Significantly below average,-0.7,-0.91,-0.5,28.2%,15.5%,10.9%,11.5%,3.2%,3.2%,135938;138747;139416;141004
TR00633,2854,Multi-academy trust,The David Ross Education Trust,National Lead,8,882,27.4,30.2,1.1,15.3,8,3,5,0,0,0,1,2,5,Significantly above average,0.1,0.01,0.18,Significantly above average,-0.1,-0.26,0.06,37.9%,18.1%,18.7%,21.2%,6.4%,7.1%,135294;136201;136479;137200;138757;138783;139060;141166
TR01879,4474,Multi-academy trust,Delta Academies Trust,National Lead,12,1420,27.9,33.7,1.8,3.7,12,6,6,0,0,0,0,2,10,Significantly above average,0.23,0.16,0.29,Significantly above average,-0.01,-0.13,0.11,25.8%,11.6%,17.3%,18.4%,7.5%,7.9%,135942;136343;136675;137066;137141;137453;137464;137472;138006;138082;139059;139076
SP00172,2914,School sponsor,Diocese of London,North West London and South Central,7,1126,29.0,41.2,2.6,34.2,7,3,4,0,0,0,0,1,6,Significantly above average,0.53,0.46,0.61,Significantly above average,0.34,0.21,0.46,51.0%,41.4%,35.1%,37.5%,22.0%,25.6%,133386;134314;135507;135531;137546;138607;139989
SP00179,2919,School sponsor,Diocese of Oxford,North West London and South Central,3,375,26.8,36.5,2.9,23.7,3,0,3,0,0,0,0,0,3,Close to average,0.05,-0.08,0.18,Significantly above average,-0.1,-0.32,0.12,24.5%,17.5%,8.5%,9.9%,3.6%,3.6%,135675;135879;137280
