RECTYPE,LEA,ESTAB,SCHNAME,URN,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,PTEBACC_E_PTQ_EE,PTEBACC_95,PTL2BASICS_95,PTEBACC_94,PTL2BASICS_94,PT5EM_94
1,201,6007,City of London School,100003,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,201, , , , , , , , , , , , , , , , 
1,201,6005,City of London School for Girls,100001,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,5401,La Sainte Union Catholic Secondary School,100059,0,VA,176,54.1,0.48,0.29,0.67,49%,26%,48%,32%,69%,69%
1,202,6269,North Bridge House Senior School,100074,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,4166,Parliament Hill School,100050,0,CY,172,54.8,0.41,0.22,0.6,55%,41%,53%,47%,74%,73%
1,202,6307,South Hampstead High School,100076,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,4275,Hampstead School,100052,0,CY,201,45,-0.05,-0.23,0.12,56%,25%,44%,29%,65%,59%
2,202,7137,Camden Centre for Learning (CCfL) Special School,100092,0,CYS,8,0.8,-2.72,-3.58,-1.86,0%,0%,0%,0%,0%,0%
1,202,6014,St Margaret's School,100062,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,4652,Maria Fidelis Roman Catholic Convent School FCJ,100055,0,VA,78,45.8,0.27,-0.02,0.56,58%,31%,40%,36%,58%,56%
4,202, , , , , ,1535,47.7,0.06,-0.01,0.12,46.40%,27.20%,47.50%,30.60%,66.10%,62.70%
1,202,6387,Fine Arts College,100084,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,4611,The Camden School for Girls,100054,0,VA,110,63.3,0.66,0.42,0.9,68%,57%,80%,61%,92%,88%
1,202,4285,Acland Burghley School,100053,0,CY,160,50.9,0.24,0.04,0.44,49%,34%,53%,36%,71%,68%
1,202,6018,University College School,100065,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,4104,Haverstock School,100049,0,CY,202,38.4,-0.63,-0.81,-0.45,8%,3%,31%,3%,58%,49%
2,202,7205,Swiss Cottage School - Development & Research Centre,100096,0,CYS,20,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,202,4688,William Ellis School,100056,0,VA,117,47.6,-0.23,-0.46,0,63%,34%,56%,38%,71%,68%
1,202,6000,CATS College London,137333,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,4196,Regent High School,100051,0,CY,129,35.9,-0.22,-0.46,0.03,28%,6%,28%,11%,46%,43%
1,202,4000,The UCL Academy,137181,0,AC,161,53.2,0.23,0.04,0.43,58%,33%,60%,35%,73%,70%
1,203,4271,Stationers' Crown Woods Academy,141309,0,ACC,262,43.7,-0.32,-0.48,-0.17,48%,13%,34%,17%,58%,56%
1,203,6295,Blackheath High School,100756,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,203,7118,Moatbridge School,100204,0,CYS,10,5.9,-2.37,-3.18,-1.57,0%,0%,0%,0%,0%,0%
2,203,7199,Charlton Park Academy,138547,0,ACCS,26,0.8,-1.36,-1.86,-0.85,0%,0%,0%,0%,0%,0%
1,203,4001,The Greenwich Free School,138245,0,F,93,50.8,0.17,-0.09,0.44,39%,24%,66%,24%,82%,72%
1,203,6004,Pulse and Water College,141315,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,4294,Thomas Tallis School,100190,0,CY,256,46.1,-0.25,-0.41,-0.1,33%,17%,34%,21%,57%,57%
1,203,4000,Harris Academy Greenwich,138449,0,AC,142,49.6,0.53,0.32,0.74,78%,31%,39%,44%,68%,68%
1,203,4003,International Academy of Greenwich,142608,0,F, , , , , , , , , , , 
1,203,6905,St Paul's Academy,105135,0,AC,225,47.8,0.13,-0.04,0.29,52%,17%,48%,17%,69%,65%
4,203, , , , , ,2168,45.7,-0.05,-0.1,0.01,47.20%,21.40%,41.10%,25.10%,62.10%,59.70%
1,203,3526,Saint Mary Magdalene Church of England All Through School,100171,0,VA, , , , , , , , , , , 
1,203,6293,Colfe's School,100202,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,6300,Right Choice Independent Special School,134402,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,4716,St Thomas More Catholic Comprehensive School,141716,0,ACC,116,59.2,1.02,0.79,1.24,38%,29%,63%,32%,81%,81%
1,203,4250,Woolwich Polytechnic School,141163,0,ACC,228,46.3,-0.23,-0.4,-0.06,48%,29%,52%,33%,70%,67%
1,203,4508,The John Roan School,100192,0,VC,196,37.1,-0.9,-1.09,-0.7,58%,18%,34%,22%,49%,45%
2,203,6040,Wize Up,136092,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,6041,StreetVibes Media Academy,136100,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,4006,Royal Greenwich Trust School,143927,0,F,10,51.2,0.42,-0.57,1.41,50%,50%,50%,50%,50%,50%
1,203,6376,Bellerbys College London,134827,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,4077,Eltham Hill School,100182,0,CY,144,44.7,-0.12,-0.34,0.1,45%,17%,30%,22%,51%,49%
1,203,4682,St Ursula's Convent School,100193,0,VA,114,60.1,0.84,0.6,1.08,83%,54%,68%,61%,88%,87%
1,203,6002,Full Circle Education,140226,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,4130,Plumstead Manor School,100183,0,CY,212,45,0.15,-0.04,0.33,37%,20%,36%,23%,60%,58%
1,203,4243,Corelli College,137473,0,ACC,132,38.6,-0.36,-0.6,-0.12,28%,9%,23%,10%,48%,44%
1,203,6377,Schoolhouse Education,132777,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,6169,Riverston School,100200,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,6907,The Bridge Academy,131609,0,AC,173,51.4,0.5,0.32,0.69,33%,17%,39%,23%,64%,62%
1,204,6400,Beis Trana Girls' School,131342,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,204, , , , , ,2011,49.1,0.39,0.33,0.44,50.90%,27.80%,44.20%,33.20%,66.20%,64.50%
1,204,4002,Hackney New School,139595,0,F, , , , , , , , , , , 
