RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,COHORT,OVERALL,APPREN,EDUCATION,FE,HE,TOP_3RD,OXBRIDGE,RUSSELL,OTHERHE,OTHER_EDU,EMPLOYMENT,NOT_SUSTAINED,NOT_CAPTURED,GAP,OVERALLPER,APPRENPER,EDUCATIONPER,FEPER,HEPER,TOP_3RDPER,OXBRIDGEPER,RUSSELLPER,OTHERHEPER,OTHER_EDUPER,EMPLOYMENTPER,NOT_SUSTAINEDPER,NOT_CAPTUREDPER,GAPPER,COHORT_DIS,OVERALL_DIS,APPREN_DIS,EDUCATION_DIS,FE_DIS,HE_DIS,TOP_3RD_DIS,OXBRIDGE_DIS,RUSSELL_DIS,OTHERHE_DIS,OTHER_EDU_DIS,EMPLOYMENT_DIS,NOT_SUSTAINED_DIS,NOT_CAPTURED_DIS,GAP_DIS,OVERALLPER_DIS,APPRENPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,HEPER_DIS,TOP_3RDPER_DIS,OXBRIDGEPER_DIS,RUSSELLPER_DIS,OTHERHEPER_DIS,OTHER_EDUPER_DIS,EMPLOYMENTPER_DIS,NOT_SUSTAINEDPER_DIS,NOT_CAPTUREDPER_DIS,GAPPER_DIS,COHORT_NONDIS,OVERALL_NONDIS,APPREN_NONDIS,EDUCATION_NONDIS,FE_NONDIS,HE_NONDIS,TOP_3RD_NONDIS,OXBRIDGE_NONDIS,RUSSELL_NONDIS,OTHERHE_NONDIS,OTHER_EDU_NONDIS,EMPLOYMENT_NONDIS,NOT_SUSTAINED_NONDIS,NOT_CAPTURED_NONDIS,GAP_NONDIS,OVERALLPER_NONDIS,APPRENPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,HEPER_NONDIS,TOP_3RDPER_NONDIS,OXBRIDGEPER_NONDIS,RUSSELLPER_NONDIS,OTHERHEPER_NONDIS,OTHER_EDUPER_NONDIS,EMPLOYMENTPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,NOT_CAPTUREDPER_NONDIS,GAPPER_NONDIS
1,202,4000,137181,The UCL Academy,AC,0,0,99,79,0,73,3,67,42,0,29,25,3,6,11,9,SUPP,80%,0%,74%,3%,68%,42%,0%,29%,25%,3%,6%,11%,9%,SUPP,50,40,0,37,SUPP,33,22,0,14,11,SUPP,3,7,3,NA,80%,0%,74%,SUPP,66%,44%,0%,28%,22%,SUPP,6%,14%,6%,NA,49,39,0,36,SUPP,34,20,0,15,14,SUPP,3,4,6,NA,80%,0%,73%,SUPP,69%,41%,0%,31%,29%,SUPP,6%,8%,12%,NA
1,202,4104,100049,Haverstock School,CY,0,0,59,54,3,SUPP,SUPP,49,19,0,5,30,SUPP,SUPP,SUPP,SUPP,SUPP,92%,5%,SUPP,SUPP,83%,32%,0%,8%,51%,SUPP,SUPP,SUPP,SUPP,SUPP,43,40,3,SUPP,SUPP,SUPP,11,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,93%,7%,SUPP,SUPP,SUPP,26%,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,16,14,0,SUPP,SUPP,SUPP,8,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,88%,0%,SUPP,SUPP,SUPP,50%,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA
1,202,4166,100050,Parliament Hill School,CY,1,0,123,105,4,89,12,77,27,SUPP,12,50,0,16,13,5,12,85%,3%,72%,10%,63%,22%,SUPP,10%,41%,0%,13%,11%,4%,10%,50,44,SUPP,39,6,33,11,SUPP,3,22,0,5,SUPP,SUPP,NA,88%,SUPP,78%,12%,66%,22%,SUPP,6%,44%,0%,10%,SUPP,SUPP,NA,73,61,SUPP,50,6,44,16,SUPP,9,28,0,11,SUPP,SUPP,NA,84%,SUPP,68%,8%,60%,22%,SUPP,12%,38%,0%,15%,SUPP,SUPP,NA
1,202,4196,100051,Regent High School,CY,0,0,75,57,3,49,SUPP,43,7,0,5,36,SUPP,8,13,5,SUPP,76%,4%,65%,SUPP,57%,9%,0%,7%,48%,SUPP,11%,17%,7%,SUPP,60,51,3,SUPP,SUPP,SUPP,SUPP,0,SUPP,32,SUPP,SUPP,SUPP,SUPP,NA,85%,5%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,53%,SUPP,SUPP,SUPP,SUPP,NA,15,6,0,SUPP,SUPP,SUPP,SUPP,0,SUPP,4,SUPP,SUPP,SUPP,SUPP,NA,40%,0%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,27%,SUPP,SUPP,SUPP,SUPP,NA
1,202,4275,100052,Hampstead School,CY,0,0,69,59,SUPP,52,6,46,10,0,4,36,SUPP,7,5,5,SUPP,86%,SUPP,75%,9%,67%,14%,0%,6%,52%,SUPP,10%,7%,7%,SUPP,30,27,SUPP,SUPP,SUPP,24,7,0,SUPP,17,SUPP,SUPP,SUPP,SUPP,NA,90%,SUPP,SUPP,SUPP,80%,23%,0%,SUPP,57%,SUPP,SUPP,SUPP,SUPP,NA,39,32,SUPP,SUPP,SUPP,22,3,0,SUPP,19,SUPP,SUPP,SUPP,SUPP,NA,82%,SUPP,SUPP,SUPP,56%,8%,0%,SUPP,49%,SUPP,SUPP,SUPP,SUPP,NA
1,202,4285,100053,Acland Burghley School,CY,1,0,96,78,SUPP,60,SUPP,53,15,SUPP,6,38,SUPP,18,13,5,7,81%,SUPP,63%,SUPP,55%,16%,SUPP,6%,40%,SUPP,19%,14%,5%,7%,44,36,SUPP,32,SUPP,28,6,SUPP,3,22,SUPP,4,SUPP,SUPP,NA,82%,SUPP,73%,SUPP,64%,14%,SUPP,7%,50%,SUPP,9%,SUPP,SUPP,NA,52,42,SUPP,28,SUPP,25,9,SUPP,3,16,SUPP,14,SUPP,SUPP,NA,81%,SUPP,54%,SUPP,48%,17%,SUPP,6%,31%,SUPP,27%,SUPP,SUPP,NA
1,202,4611,100054,The Camden School for Girls,VA,0,0,215,162,SUPP,117,19,98,85,6,61,13,0,45,39,14,27,75%,SUPP,54%,9%,46%,40%,3%,28%,6%,0%,21%,18%,7%,13%,40,35,SUPP,SUPP,SUPP,28,23,0,14,5,0,SUPP,SUPP,SUPP,NA,88%,SUPP,SUPP,SUPP,70%,58%,0%,35%,13%,0%,SUPP,SUPP,SUPP,NA,175,127,SUPP,SUPP,SUPP,70,62,6,47,8,0,SUPP,SUPP,SUPP,NA,73%,SUPP,SUPP,SUPP,40%,35%,3%,27%,5%,0%,SUPP,SUPP,SUPP,NA
1,202,4652,100055,Maria Fidelis Roman Catholic Convent School FCJ,VA,0,0,50,45,SUPP,37,SUPP,32,13,0,8,19,SUPP,8,SUPP,SUPP,SUPP,90%,SUPP,74%,SUPP,64%,26%,0%,16%,38%,SUPP,16%,SUPP,SUPP,SUPP,33,29,SUPP,24,SUPP,21,SUPP,0,SUPP,SUPP,SUPP,5,SUPP,SUPP,NA,88%,SUPP,73%,SUPP,64%,SUPP,0%,SUPP,SUPP,SUPP,15%,SUPP,SUPP,NA,17,16,SUPP,13,SUPP,11,SUPP,0,SUPP,SUPP,SUPP,3,SUPP,SUPP,NA,94%,SUPP,76%,SUPP,65%,SUPP,0%,SUPP,SUPP,SUPP,18%,SUPP,SUPP,NA
1,202,4688,100056,William Ellis School,VA,1,0,54,46,SUPP,34,4,30,8,SUPP,5,22,SUPP,12,5,3,3,85%,SUPP,63%,7%,56%,15%,SUPP,9%,41%,SUPP,22%,9%,6%,6%,21,19,SUPP,15,SUPP,13,3,SUPP,SUPP,10,SUPP,4,SUPP,SUPP,NA,90%,SUPP,71%,SUPP,62%,14%,SUPP,SUPP,48%,SUPP,19%,SUPP,SUPP,NA,33,27,SUPP,19,SUPP,17,5,SUPP,SUPP,12,SUPP,8,SUPP,SUPP,NA,82%,SUPP,58%,SUPP,52%,15%,SUPP,SUPP,36%,SUPP,24%,SUPP,SUPP,NA
3,202,4952,132838,LaSWAP Sixth Form,,,,387,336,11,283,34,246,91,3,38,155,3,53,37,14,27,87%,3%,73%,9%,64%,24%,1%,10%,40%,1%,14%,10%,4%,7%,164,145,6,130,17,113,34,SUPP,12,79,0,15,15,4,NA,88%,4%,79%,10%,69%,21%,SUPP,7%,48%,0%,9%,9%,2%,NA,223,191,5,153,17,133,57,SUPP,26,76,3,38,22,10,NA,86%,2%,69%,8%,60%,26%,SUPP,12%,34%,1%,17%,10%,4%,NA
