BR1 (2017 DATA UPDATE ITEMS INCLUDED FOR FIRST TIME IN THIS TICKET ARE IN BOLD),Primary (key stage 2) data,Secondary (key stage 4) data,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP ID,yes,yes,ID given to a group,,,,,,,,,,,,,,,,,,,,,,,,,,
UID,yes,yes,Unique ID given to an entity,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP-TYPE,yes,yes,Sponsor/MAT,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP-NAME,yes,yes,"Name of group - multi-academy trust (MAT) or school sponsor. Where there is more than a single MAT set up by a school sponsor, the performance data is calculated based on all of the schools in the MATs and single academy trusts set up by the school sponsor. Where there is only a single MAT set up by a school sponsor, performance data is calculated for the MAT.",,,,,,,,,,,,,,,,,,,,,,,,,,
LEAD-RSC-NAME,yes,yes,Name of the 'lead Regional Schools Commissioner' - the Regional Schools Commissioner that is accountable for overseeing the group (MAT and/or sponsor),,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-SCHLS,yes,yes,Number of schools covering end of key stage,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-PUPS,yes,yes,Number of pupils in key stage cohort,,,,,,,,,,,,,,,,,,,,,,,,,,
APS,yes,yes,"Characteristics of cohort: Average point score on entry (for Primary data, this is average point score at key stage 1; for Secondary data, this is average point score at key stage 2)",,,,,,,,,,,,,,,,,,,,,,,,,,
PERC-DISADV,yes,yes,Characteristics of cohort: % disadvantaged,,,,,,,,,,,,,,,,,,,,,,,,,,
PERC-SEN,yes,yes,"Characteristics of cohort: % SEN (special educational needs) with a statement or Education, health and care (EHC) plan' and 'SEN support'",,,,,,,,,,,,,,,,,,,,,,,,,,
PERC-EAL,yes,yes,Characteristics of cohort: % English as an additional language (EAL),,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-SCHLS-PROG-TOTAL,yes,yes,Number of academies included in progress MAT measure: Type of academy: Total,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-SCHLS-PROG-CONVTR,yes,yes,Number of academies included in progress MAT measure: Type of academy: Converter academies,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-SCHLS-PROG-SPONSRD,yes,yes,Number of academies included in progress MAT measure: Type of academy: Sponsored academies,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-SCHLS-PROG-FREE-URC-STUD,yes,yes,"Number of academies included in progress MAT measure: Type of academy: Free schools, UTCs and studio schools",,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-SCHLS-PROG-OPEN-1-YRS,yes,yes,Number of academies included in progress MAT measure: Length of time open: 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-SCHLS-PROG-OPEN-2-YRS,yes,yes,Number of academies included in progress MAT measure: Length of time open: 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-SCHLS-PROG-OPEN-3-YRS,yes,yes,Number of academies included in progress MAT measure: Length of time open: 3 years,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-SCHLS-PROG-OPEN-4-YRS,no,yes,Number of academies included in progress MAT measure: Length of time open: 4 years,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-SCHLS-PROG-OPEN-4PLUS-YRS,yes,no,Number of academies included in progress MAT measure: Length of time open: 4 or more years,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-SCHLS-PROG-OPEN-5PLUS-YRS,no,yes,Number of academies included in progress MAT measure: Length of time open: 5 or more years,,,,,,,,,,,,,,,,,,,,,,,,,,
